,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
81,80,Silicon Valley Eyecare Optometry and Contact Lenses,36.778261,-119.417932,CA,,40000,4/2/2010,Theft,Network Server,2014-01-23,,2010-04-02,NA,2010
82,81,Loma Linda University Health Care,36.778261,-119.417932,CA,,584,4/4/2010,Theft,Desktop Computer,2014-01-23,,2010-04-04,NA,2010
83,82,Veterans Health Administration,38.905985,-77.033418,DC,Heritage Health Solutions,656,4/22/2010,Theft,Laptop,2014-01-23,,2010-04-22,NA,2010
84,83,"State of New Mexico Human Services Department, Medical Assistance Division",34.97273,-105.032363,NM,DentaQuest,9600,3/20/2010,Theft,Laptop,2014-01-23,,2010-03-20,NA,2010
85,84,Oconee Physician Practices,33.836081,-81.163725,SC,,653,5/9/2010,Theft,Laptop,2014-01-23,,2010-05-09,NA,2010
86,85,University of Rochester Medical Center and Affiliates,43.299428,-74.217933,NY,,2628,4/19/2010,Other,Paper,2014-01-23,,2010-04-19,NA,2010
88,87,"City of Charlotte, NC (Health Plan)",35.759573,-79.0193,NC,,5220,2/3/2010,Loss,Other,2014-01-23,,2010-02-03,NA,2010
89,88,VA North Texas Health Care System,31.968599,-99.901813,TX,,4083,5/4/2010,Improper Disposal,Paper,2014-01-23,,2010-05-04,NA,2010
90,89,Rainbow Hospice and Palliative Care,40.633125,-89.398528,IL,,1000,4/12/2010,Theft,Laptop,2014-01-23,"An employee's laptop was stolen out of her bag while she was making an admission visit in a patient's home.  The evidence showed that although the covered entity had a policy of encrypting and password-protecting its computers, this particular computer did not require a password most of the time.  The invoices contained the protected health information (PHI) of approximately 1,000 individuals.  The PHI stored on the laptop included names, addresses, dates of birth, phone numbers, Social Security numbers, Medicare numbers, electronic health records and commercial insurance information.  Following the breach, the covered entity notified its clients of the incident, placed notice on its website and in The Daily Herald, sanctioned the employee for changing the security settings on the laptop in question, and established stringent computer security guidelines, and retrained its staff in the new requirements, with the intention of preventing a similar event from occurring again.

",2010-04-12,NA,2010
91,90,Cincinnati Childrens Hospital Medical Center ,40.417287,-82.907123,OH,,60998,3/27/2010,Theft,Laptop,2014-01-23,,2010-03-27,NA,2010
92,91,Occupational Health Partners,39.011902,-98.484246,KS,,1105,5/12/2010,Theft,Laptop,2014-01-23,,2010-05-12,NA,2010
94,93,UnitedHealth Group health plan single affiliated covered entity,46.729553,-94.6859,MN,,16291,1/26/2010,Other,Paper,2014-01-23,"Paper correspondence to certain members in UnitedHealth's prescription drug plans were in advertently sent to the incorrect temporary address due to a database administration error.  Approximately 16,291 individuals were affected by the breach. UnitedHealth member's name, plan number and in some instances, date of birth and/or limited medical information. United Health reported that it stopped using PDI's proprietary database for address updates and made outbound verifications calls to members to get accurate temporary addresses.   United Health reported that it revised its address update process.   

",2010-01-26,NA,2010
95,94,Lincoln Medical and Mental Health Center,43.299428,-74.217933,NY,"Siemens Medical Solutions, USA, Inc",130495,3/24/2010,Theft,Other,2014-06-19,"The covered entity's business associate (BA), Siemens Medical Solutions USA, Inc., shipped seven unencrypted compact disks (CDs) that contained the electronic protected health information (ePHI) of 130,495 individuals to the covered entity (CE), Lincoln Medical and Mental Health Center.  The CD's, containing back-up data, were lost in transit.  The ePHI included names, addresses, social security numbers, medical record numbers, health plan information, dates of birth, dates of admission and discharge, diagnostic and procedural codes, and driver's license numbers.  The CE provided breach notification to affected individuals, HHS, and the media.  Upon discovery of the breach, the CE directed the BA to cease using the shipping service as a means of transporting the CDs.  As a result of OCR's investigation, the BA adopted a procedure to encrypt CDs.  The CE also implemented a procedure for a senior employee of the BA to physically deliver the encrypted CDs to the CE.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-03-24,NA,2010
96,95,"Nihal Saran, MD ",44.314844,-85.602364,MI,,2300,5/2/2010,Theft,Laptop,2014-01-23,"A password protected laptop computer containing protected health information (PHI) was stolen from Dr. Saran's personal residence.  The laptop contained the PHI of approximately 2,300 individuals.  The PHI stored on the laptop included patients' names, addresses, dates of birth, Social Security numbers, insurance information, and diagnoses.  Following the breach, Dr. Saran notified the Northville Township Police Department of the theft, contacted the individuals reasonably believed to have been affected by the breach, sent a notice of the breach to the Detroit Free Press and the Monroe News, and installed encryption software for its billing software.

",2010-05-02,NA,2010
98,97,St. Jude Children's Research Hospital,35.517491,-86.580447,TN,,1745,4/19/2010,Loss,Laptop,2014-01-23,,2010-04-19,NA,2010
99,98,TennCare,35.517491,-86.580447,TN,DentaQuest,10515,3/20/2010,Theft,Laptop,2014-06-20,"A car containing an unencrypted laptop computer was stolen from West Monroe Partners, a contractor for the covered entity's (CE) business associate (BA), DentaQuest.  The laptop stored a database containing the electronic protected health information (ePHI) of approximately 76,000 individuals, including data on 10,515 of the CE's members.  The types of PHI involved in the breach included names, social security numbers, dates, and certain provider identification numbers.  The CE and BA worked together to provide breach notification to affected individuals and the media, and offered free credit monitoring and enhanced credit services to affected individuals for one year. The CE reported the breach to HHS and provided substitute notification on its website.  The BA implemented procedures to ensure that any third party laptops connecting to its network employ disk encryption.  Further, the BA established a policy to prohibit contractors from storing PHI on laptops.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2010-03-20,NA,2010
100,99,The Children's Medical Center of Dayton,40.417287,-82.907123,OH,,1001,4/22/2010,Other,E-mail,2014-01-23,,2010-04-22,NA,2010
101,100,Comprehensive Care Management Corporation,43.299428,-74.217933,NY,,1020,4/30/2010,Theft,"Laptop, Desktop Computer, Network Server, E-mail",2014-06-19,"OCR opened an investigation of the covered entity (CE), Comprehensive Care Management Corporation, after it reported two former employees sent emails that contained the electronic protected health information (ePHI) of 1,020 individuals to their personal email accounts to open a competitor organization.  The ePHI included names, addresses, and enrollment information.  Upon discovery of the breach, the CE conducted an internal inquiry and found that the former employees disclosed the ePHI to its competitor.  As a result of OCR's investigation, the CE replaced and strengthened external firewalls, restricted access to email websites, restricted the use of portable devices, limited the ability to upload data to external websites, and evaluated new monitor and control software for network information.  In addition, the CE provided training to all staff on its HIPAA policies and procedures.  The CE also entered into an agreement with its competitor who hired the former employees to return or destroy the ePHI.",2010-04-30,NA,2010
102,101,alma aguado md pa,31.968599,-99.901813,TX,,600,5/29/2010,Theft,Network Server,2014-04-23,"OCR investigated the covered entity (CE) following a report that its main server and desktop computers containing the electronic protected health information (ePHI) of 600 individuals were taken from the CE's office.  The ePHI involved in the breach included patient names, addresses, dates of birth, and social security numbers.  As a result of OCR's investigation, the CE changed its privacy and security policies, retrained its employees and provided additional physical security to better safeguard patient ePHI.",2010-05-29,NA,2010
103,102,University Hospital,32.157435,-82.907123,GA,"Augusta Data Storage, Inc",14000,5/7/2010,Loss,Other,2014-01-23,,2010-05-07,NA,2010
104,103,University Health System,38.80261,-116.419389,NV,,7526,6/11/2010,Theft,Network Server,2014-01-23,,2010-06-11,NA,2010
105,104,"Sinai Hospital of Baltimore, Inc.",39.045755,-76.641271,MD,"Aramark Healthcare Support Services, LLC",937,5/3/2010,Other,E-mail,2014-01-23,"A business associate employee sent an email to multiple patients without concealing patient email addresses.  The message concerned a dietary program in which the names and email addresses were visible to all recipients.  The breach affected 937 individuals.  In response to this incident, the covered entity took steps to enforce the requirements of its business associate agreement with Aramark.  The business associate counseled the employee responsible for the breach and retrained all employees who may communicate with patients via email on the requirements of the Privacy and Security Rules as well as related policies and procedures.

",2010-05-03,NA,2010
106,105,"Mary M. Desch,MD/PathHealer, LTD",34.048928,-111.093731,AZ,,5893,5/15/2010,Theft,Laptop,2014-01-23,,2010-05-15,NA,2010
107,106,Children's Hospital & Research Center at Oakland,36.778261,-119.417932,CA,,1000,5/25/2010,Other,Paper,2014-01-23,,2010-05-25,NA,2010
108,107,Centerstone,35.517491,-86.580447,TN,,1537,5/1/2010,Other,"Desktop Computer, Paper",2014-01-23,,2010-05-01,NA,2010
109,108,California Department of Healthcare Services,36.778261,-119.417932,CA,Care 1st Health Plan,29000,4/29/2010,"Loss, Other","Other Portable Electronic Device, Other",2014-01-23,,2010-04-29,NA,2010
110,109,Long Island Consultation Center,43.299428,-74.217933,NY,,800,5/21/2010,Theft,"Other Portable Electronic Device, Other",2014-06-19,"The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. ",2010-05-21,NA,2010
111,110,NYU Hospitals Center,43.299428,-74.217933,NY,,2563,5/8/2010,Theft,Other Portable Electronic Device,2014-05-28,"The covered entity (CE) misplaced an unencrypted USB drive that contained the electronic protected health information (ePHI) of 2,563 individuals.  The ePHI included names, medical record numbers, ages, genders, procedures, attending physicians' names, anesthesiologists' names, types of anesthesia, times of arrival in the recovery room, and times of discharge.  Upon discovery of the breach, the CE reported the incident to internal security as a possible theft and conducted a thorough search of the perimeter.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE stopped using USB drives and local desktop computers for data storage.  In addition, the CE updated physical security in the recovery room and installed data prevention software to monitor, block or encrypt mobile media used in the CE.  Further, the CE purchased encrypted USB drives for workforce members with an identified need to download and store ePHI.  The CE also revised its mobile device and portable storage media policy and retrained all workforce members on its policies.",2010-05-08,NA,2010
112,111,University of Florida,27.664827,-81.515754,FL,,2047,5/24/2010,Other,Paper,2014-01-23,,2010-05-24,NA,2010
113,112,SunBridge Healthcare Corporation,34.97273,-105.032363,NM,,3830,5/11/2010,Theft,Laptop,2014-01-23,,2010-05-11,NA,2010
114,113,Department of Health Care Policy & Financing,39.550051,-105.782067,CO,Governor's Office of Information Technology,105470,5/17/2010,Theft,Desktop Computer,2014-01-23,,2010-05-17,NA,2010
115,114,Prince William County Community Services (CS),37.431573,-78.656894,VA,,669,6/18/2010,Theft,Other Portable Electronic Device,2014-01-23,,2010-06-18,NA,2010
116,115,"E. Brooks Wilkins Family Medicine, PA",35.759573,-79.0193,NC,,13000,2/1/2010,Theft,"Desktop Computer, Other",2014-01-23,"The breach report indicated that former employees took protected health information (PHI) pertaining to 13,000 patients and disclosed it to a competing medical practice.  The PHI included the names and contact information for the patients.  Following the breach, the entity terminated the employees who impermissibly used and disclosed the PHI. OCR also confirmed that the entity complied with the provisions of the Breach Notification Rule and notified the affected individuals.  Additionally, the entity retrained its staff regarding the policies and procedures for safeguarding of PHI.

",2010-02-01,NA,2010
117,116,John Deere Health Benefit Plan for Wage Employees,40.633125,-89.398528,IL,UnitedHealthcare Insurance Company ,1097,6/24/2010,Other,Paper,2014-01-23,,2010-06-24,NA,2010
118,117,South Shore Hospital,42.407211,-71.382437,MA,"Iron Mountain Data Products, Inc. (now known as ",800000,2/26/2010,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,,2010-02-26,NA,2010
119,118,Montefiore Medical Center,43.299428,-74.217933,NY,,16820,5/22/2010,Theft,Desktop Computer,2014-06-19,"Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-05-22,NA,2010
120,119,"DC Chartered Health Plan, Inc",38.905985,-77.033418,DC,,540,5/26/2010,Theft,Laptop,2014-01-23,,2010-05-26,NA,2010
121,120,Montefiore Medical Center,43.299428,-74.217933,NY,,23753,6/9/2010,Theft,Desktop Computer,2014-06-19,"OCR opened an investigation of the covered entity (CE), Montefiore Medical Center, after it reported three unencrypted desktop computers were stolen that contained the electronic protected health information (ePHI) of 23,753 individuals.  The ePHI included names, medical record numbers, dates of birth, parent or guardian contact numbers, asthma diagnoses, vaccination information, and number of visits to the school health clinic.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE updated its building alarm to include additional motion sensors and installed surveillance cameras.  Further, the CE encrypted all of its computers, advised that no ePHI is stored on desktop hard drives, removed all ePHI from its computers, and stored ePHI on the centralized secured network servers.  The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-06-09,NA,2010
122,121,Medina County OB/GYN,40.417287,-82.907123,OH,,1200,6/13/2010,Improper Disposal,Paper,2014-01-23,,2010-06-13,NA,2010
124,123,Aetna,41.603221,-73.087749,CT,,6372,3/29/2010,Improper Disposal,Paper,2014-01-23,,2010-03-29,NA,2010
125,124,Charles Mitchell MD,31.968599,-99.901813,TX,,6873,6/27/2010,Theft,Desktop Computer,2014-06-30,"A burglary occurred at the covered entity's (CE) facility and two desktop computers containing protected health information (PHI) were stolen.  Approximately 6873 individuals were affected.  The PHI involved included names, addresses, dates of birth, social security numbers, diagnoses and conditions, medications, and other treatment information.  OCR closed this investigation after determining that the individual who reported the breach worked for a CE no longer in existence.",2010-06-27,NA,2010
126,125,Humana Inc [case 4486],37.839333,-84.270018,KY,Matrix Imaging,2631,6/25/2010,Other,Paper,2014-01-23,,2010-06-25,NA,2010
128,127,Carolina Center for Development and Rehabilitation,35.759573,-79.0193,NC,,1590,6/24/2010,Theft,Paper,2014-06-30,"The covered entity's (CE) staff inadvertently sent twenty-three boxes containing the protected health information (PHI) of 1,590 patients to a recycling center.  The PHI included patients' full names, addresses, dates of birth, social security numbers, insurance identification numbers, driver's license numbers, diagnoses, medication information, checking and savings account numbers, credit and debit card numbers, and photographs of the patients.  Following the breach, the CE immediately took steps for the records to be returned.  The CE notified HHS, the media, and all individuals affected by the breach, and established a toll free number for patients to call for more information.  The CE cooperated with the state attorney general's investigation and suspended the responsible staff members.  Following OCR's investigation, the CE placed a record into its accounting of disclosure log for each individual affected and terminated the employment of the staff involved in the breach.  In addition, the CE revised its policies and procedures regarding the rights of individuals and safeguards for PHI, and re-trained staff.  ",2010-06-24,NA,2010
129,128,Trinity Health Corporation Welfare Benefit Plan,44.314844,-85.602364,MI,Mercer,1073,3/29/2010,Loss,Other,2014-01-23,,2010-03-29,NA,2010
130,129,Texas Children's Hospital,31.968599,-99.901813,TX,,694,5/13/2010,Theft,Laptop,2014-01-23,,2010-05-13,NA,2010
131,130,Baylor College of Medicine,31.968599,-99.901813,TX,,1646,5/13/2010,Theft,Laptop,2014-04-24,"An unencrypted laptop containing electronic protected health information (ePHI) of approximately 1,618 individuals was stolen from the covered entity's (CE) affiliate.  The ePHI involved in the breach included names, medical reconciliation numbers, dates of service, diagnoses, and dates of birth.  Upon discovery of the breach, the CE and its affiliate jointly notified the affected individuals, OCR, and the local media.  Notifications were delayed at the request of law enforcement.  Following OCR's investigation, the CE revised policies and procedures to require encryption of all mobile devices containing PHI and began encrypting all necessary devices in order to ensure reasonable safeguards.",2010-05-13,NA,2010
132,131,Wright State Physicians,40.417287,-82.907123,OH,,1309,6/11/2010,Other,Laptop,2014-01-23,"On June 11, 2010, a laptop computer containing PHI was mistakenly discarded in the trash. The laptop computer contained the protected health information of approximately 1,309 individuals. The protected health information involved in the breach included patient full names or first initial and last name, dates of service, and in some cases, a brief description of medical condition or care. Following the breach, the covered entity submitted evidence of its progress in implementing encryption on its laptop computers in its various departments.         

",2010-06-11,NA,2010
133,132,Penn Treaty Network America Insurance Company ,41.203322,-77.194525,PA,,560,6/4/2010,Other,Other,2014-01-23,"Social security numbers were inadvertently printed on the address labels in a newsletter mailing.  The mailing had 560 recipients.  The covered entity acted to mitigate the disclosure by verifying that the all mail was correctly delivered.  It also counseled the responsible employee and updated its policies and procedures.

",2010-06-04,NA,2010
134,133,Aultman Hospital,40.417287,-82.907123,OH,,13867,6/7/2010,Theft,Laptop,2014-01-23,,2010-06-07,NA,2010
135,134,Fort Worth Allergy and Asthma Associates,31.968599,-99.901813,TX,,25000,6/29/2010,Theft,Network Server,2014-01-23,,2010-06-29,NA,2010
136,135,"Beauty Dental, Inc.",40.633125,-89.398528,IL,,657,6/5/2010,"Theft, Loss",Paper,2014-01-23,"Following the breach, the covered entity notified its clients by letter of the incident, submitted a press release that outlined the circumstances of the breach to the Chicago Tribune and the Chicago Sun Times, required the individual who allegedly stole the documents to return all physical patient PHI in her possession and sign a statement swearing that she no longer possessed any patient documents, would not use or disclose the PHI in any manner and would erase an excel spreadsheet she had in her possession, installed a new security system for the office that requires the input of a code specific to each employee, and implemented new technical safeguards that limited employee access to ePHI according to the employee's position and rank.

",2010-06-05,NA,2010
137,136,Walsh Pharmacy,42.407211,-71.382437,MA,McKesson Pharmacy Systems LLC,11440,6/3/2010,Other,"Other Portable Electronic Device, Other",2014-01-23,,2010-06-03,NA,2010
138,137,Jewish Hospital,37.839333,-84.270018,KY,,2089,7/16/2010,Theft,Laptop,2014-01-23,,2010-07-16,NA,2010
139,138,St. John's Mercy Medical Group,37.964253,-91.831833,MO,,1907,6/7/2010,Improper Disposal,Paper,2014-01-23,"Covered entity improperly disposed of patients' Protected Health Information (PHI), by placing the PHI in a dumpster outside of a doctor's office. The PHI involved in the breach included demographic, financial, clinical, and other medical information. Following the breach, the covered entity notified all affected individuals of the breach, posted a notice about the incident on its website; attempted to retrieve and track all of the medical records that were inappropriately disposed of; offered all affected individuals identity theft protection; obtained a formal apology from and assumed direct office operations management of the physician involved; re-educated its workforce to reinforce policies relating to appropriate medical record protection and disposal requirements.

",2010-06-07,NA,2010
140,139,"Thomas Jefferson University Hospitals, Inc.",41.203322,-77.194525,PA,,21000,6/14/2010,Theft,Laptop,2014-01-23,,2010-06-14,NA,2010
142,141,Idaho Power Group Health Plan,44.068202,-114.742041,ID,Mercer Health & Benefits,5500,3/29/2010,Loss,Other,2014-01-23,"Idaho Power Group Health Plan's business associate, Mercer Health and Benefits, lost a backup tape as it was being sent via FEDEX from Boise to Seattle. The backup tape contained information of about 375,000 individuals that Mercer serviced. The total affected at Idaho Power was about 5,500 current and former employees and their dependents. The protected health information involved included names, addresses, dates of birth, and social security numbers. Although Mercer concluded that the lost tape was configured so that even a sophisticated user would be unlikely to be able to access the data within, both Mercer and Idaho Power notified all possible affected individuals and offered free credit protection services. To prevent a similar breach from occurring in the future, Mercer now stores backup tapes through a third party vendor who offers secure transport services. Mercer's Boise office now encrypts backup tapes. Following the incident, Idaho Power renegotiated its contract with Mercer and continues to evaluate its business relationship with Mercer.

",2010-03-29,NA,2010
143,142,Loma Linda University School of Dentistry,36.778261,-119.417932,CA,,10100,6/13/2010,Theft,Desktop Computer,2014-01-23,,2010-06-13,NA,2010
144,143,"Ward A. Morris, DDS",47.751074,-120.740139,WA,,2698,7/16/2010,Theft,Desktop Computer,2014-01-23,,2010-07-16,NA,2010
145,144,"Chattanooga Family Practice Associates, P.C.",35.517491,-86.580447,TN,,1711,7/15/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-07-15,NA,2010
146,145,Yale University,41.603221,-73.087749,CT,,1000,7/28/2010,Theft,Laptop,2014-01-23,,2010-07-28,NA,2010
147,146,University of Kentucky,37.839333,-84.270018,KY,,2027,6/18/2010,Theft,Laptop,2014-01-23,,2010-06-18,NA,2010
148,147,Cook County Health & Hospitals System,40.633125,-89.398528,IL,,7081,5/30/2010,Theft,Laptop,2014-01-23,"An employee's laptop was stolen out of a locked office; evidence shows that the laptop was password protected but not encrypted.  The laptop contained the protected health information (PHI) of approximately 7,000 individuals.  The PHI stored on the laptop included names, dates of birth, Social Security numbers, internal encounter numbers, and other administrative codes.  Following the breach, the covered entity notified those individuals reasonably believed to have been affected by the breach, placed notice on its website and with a local news center; established stringent computer security guidelines, and retrained its staff in the new requirements with the intention of preventing a similar event from occurring again.

",2010-05-30,NA,2010
149,148,"Eastmoreland Surgical Clinic, William Graham, DO",43.804133,-120.554201,OR,,4328,7/5/2010,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device, Other",2014-01-23,"Three desktop computers, one laptop computer, and a backup drive, containing the electronic protected health information (EPHI) of 4,328 individuals, were stolen on July 5, 2010.  The EPHI involved in the breach included names, addresses, phone numbers, dates of birth, Social Security numbers, reason for visits, and insurance information.  Following the breach, the covered entity implemented backup and whole disk encryption on electronic information systems that maintain EPHI and improved their physical safeguards.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as password complexity requirements and data backup protocols.

",2010-07-05,NA,2010
150,149,SunBridge Healthcare Corporation,34.97273,-105.032363,NM,,1000,6/26/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-06-26,NA,2010
151,150,Holyoke Medical Center,42.407211,-71.382437,MA,Pioneer Valley Pathology,24750,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,NA,2010
152,151,Newark Beth Israel Medical Center,40.058324,-74.405661,NJ,KPMG LLP,956,5/10/2010,Theft,"Other Portable Electronic Device, Other",2014-06-19,"OCR opened an investigation of the covered entity (CE), Newark Beth Israel Medical Center, after it reported an employee of the CE's business associate (BA), KPMG LLP, lost an unencrypted USB drive that contained the electronic protected health information (ePHI) of 956 individuals.  The ePHI included names and clinical information.  Upon discovery of the breach, the CE's BA conducted a search of the area.  The CE provided breach notification to HHS, the Media and affected individuals.  As a result of OCR's investigation, the BA installed and implemented encryption software to its electronic equipment and devices.  In addition, the BA encrypted and password protected all equipment and devices that could contain the CE's data.  The BA also reprimanded and retrained the employee and retrained all employees on safeguarding ePHI.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-05-10,NA,2010
153,152,Saint Barnabas Medical Center,40.058324,-74.405661,NJ,KPMG LLP,3630,5/10/2010,Theft,Other Portable Electronic Device,2014-06-19,"The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. ",2010-05-10,NA,2010
154,153,NYU School of Medicine--Aging and Dementia Clinical Research Center ,43.299428,-74.217933,NY,,1200,4/3/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-04-03,NA,2010
155,154,University of Rochester Medical Center and Affiliates,43.299428,-74.217933,NY,,857,8/2/2010,Loss,Other Portable Electronic Device,2014-01-23,,2010-08-02,NA,2010
156,155,State of Delaware Health Plan,38.910832,-75.52767,DE,Aon Consulting,22642,8/16/2010,Other,Network Server,2014-01-23,"The business associate prepared a document as part of a request for proposal for the covered entity's vision benefit program which mistakenly included protected health information of 22,642 individuals.  The document was posted online for five days.  The protected health information involved in the breach included social security numbers, dates of birth, gender, zip codes, and vision plan enrollment information.  In response to this incident, the covered entity implemented additional safeguards to prevent this type of impermissible disclosure of protected health information.  In particular, the covered entity will now require several layers of review before allowing public disclosure of documents prepared by the business associate.  The covered entity also took steps to enforce the requirements of its business associate agreement with Aon Consulting.  Aon will provide affected individuals with free credit monitoring, fraud resolution resources, and identity theft insurance.  Additionally, the business associate has provided assurances to the covered entity that it has taken steps to prevent this type of impermissible disclosure in the future.

",2010-08-16,NA,2010
157,156,"Curtis R. Bryan, M.D.",37.431573,-78.656894,VA,,2739,7/12/2010,Theft,Laptop,2014-01-23,,2010-07-12,NA,2010
159,158,LabCorp Patient Service Center,38.80261,-116.419389,NV,,507,8/2/2010,Theft,Paper,2014-01-23,,2010-08-02,NA,2010
160,159,The Kent Center ,41.580095,-71.477429,RI,,1361,7/13/2010,Theft,Paper,2014-01-23,,2010-07-13,NA,2010
161,160,"Pediatric and Adult Allergy, PC",41.878003,-93.097702,IA,,19222,7/11/2010,Loss,Other Portable Electronic Device,2014-01-23,,2010-07-11,NA,2010
162,161,Ault Chiropractic Center,40.551217,-85.602364,IN,,2000,9/15/2010,Theft,"Laptop, Desktop Computer",2014-01-23,,2010-09-15,NA,2010
163,162,County of Los Angeles,36.778261,-119.417932,CA,,33000,7/29/2010,Theft,Paper,2014-01-23,,2010-07-29,NA,2010
164,163,"Matthew H. Conrad, M.D., P.A.",39.011902,-98.484246,KS,,1200,8/20/2010,Theft,"Laptop, Paper",2014-01-23,,2010-08-20,NA,2010
165,164,UnitedHealth Group health plan single affiliated covered entity,46.729553,-94.6859,MN,CareCore National,1270,7/8/2010,Other,Paper,2014-01-23,,2010-07-08,NA,2010
166,165,Counseling and Psychotherapy of Throggs Neck,43.299428,-74.217933,NY,,9000,9/6/2010,Theft,Desktop Computer,2014-01-23,,2010-09-06,NA,2010
167,166,United States Air Force,40.417287,-82.907123,OH,,2123,7/29/2010,Improper Disposal,Paper,2014-01-23,,2010-07-29,NA,2010
168,167,"State of Alaska, Department of Health and Social Services",63.588753,-154.493062,AK,Alaskan AIDS Assistance Association,2000,9/7/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-09-07,NA,2010
169,168,"St. Vincent Hospital and Health Care Center, Inc.",40.551217,-85.602364,IN,,1199,7/25/2010,Theft,Laptop,2014-01-23,,2010-07-25,NA,2010
170,169,Milford Regional Medical Center,42.407211,-71.382437,MA,,20000,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,NA,2010
171,170,"Alliance HealthCare Services, Inc.",36.778261,-119.417932,CA,Oroville Hospital,1474,7/31/2010,Theft,"Other Portable Electronic Device, Other",2014-04-24,"The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.



",2010-07-31,NA,2010
172,171,"Alliance HealthCare Services, Inc.",36.778261,-119.417932,CA,Eden Medical Center,1474,8/5/2010,Theft,"Other Portable Electronic Device, Other",2014-06-24,"The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices.",2010-08-05,NA,2010
